id;Height;Weight;Male
0;73.847017017515;241.893563180437;1
1;68.7819040458903;162.3104725213;1
2;74.1101053917849;212.7408555565;1
3;71.7309784033377;220.042470303077;1
4;69.8817958611153;206.349800623871;1
5;67.2530156878065;152.212155757083;1
6;68.7850812516616;183.927888604031;1
7;68.3485155115879;167.971110489509;1
8;67.018949662883;175.92944039571;1
9;63.4564939783664;156.399676387112;1
10;71.1953822829745;186.604925560358;1
11;71.6408051192206;213.741169489411;1
12;64.7663291334055;167.127461073476;1
13;69.2830700967204;189.446181386738;1
14;69.2437322298112;186.434168021239;1
15;67.6456197004212;172.186930058117;1
16;72.4183166259878;196.028506330482;1
17;63.974325721061;172.88347020878;1
18;69.6400598997523;185.98395757313;1
19;67.9360048540095;182.426648013226;1
20;67.9150501938206;174.115929081393;1
21;69.4394398680395;197.73142161472;1
22;66.1491319608781;149.173566007975;1
23;75.2059736142212;228.761780615196;1
24;67.8931963386043;162.006651848287;1
25;68.1440327982008;192.343976579187;1
26;69.0896314289256;184.435174408406;1
27;72.8008435165003;206.828189420354;1
28;67.4212422817167;175.213922399227;1
29;68.4964153568827;154.342638925955;1
30;68.6181105502058;187.506843155807;1
31;74.0338076216678;212.910225325521;1
32;71.5282160355709;195.032243233835;1
33;69.1801610995692;205.183621341371;1
34;69.577202365402;204.164125484101;1
35;70.4009288884762;192.903515074649;1
36;69.0761711675356;197.488242598925;1
37;67.1935232827228;183.810973232751;1
38;65.8073156549306;163.851824878622;1
39;64.3041878915595;163.108017147583;1
40;67.9743362271967;172.135597406825;1
41;72.1894259592134;194.045404898059;1
42;65.2703455240394;168.617746204292;1
43;66.0901773762725;161.193432596622;1
44;67.5103215157138;164.660277264007;1
45;70.1047862551571;188.922303151274;1
46;68.2518364408672;187.060552163801;1
47;72.1727091157973;209.070863390252;1
48;69.1798576188774;192.014335412005;1
49;72.870360147235;211.34249681964;1
50;64.7825829779871;165.61162618225;1
51;70.1835498874837;201.071918099568;1
52;68.4914502529394;173.423960346601;1
53;67.3308308810162;181.407679285937;1
54;66.9909440825232;169.737707400252;1
55;66.4995499002499;163.309528309674;1
56;68.3530566463988;189.710209942456;1
57;70.7744590703974;192.124847346168;1
58;71.2159236694709;198.1984641076;1
59;70.0133653490674;209.526499837126;1
60;71.4031822207589;198.759792659859;1
61;69.5520050948319;198.079523654438;1
62;73.8185345577699;195.290612189727;1
63;66.99688275225;164.943302997003;1
64;71.4184658930907;179.863902339297;1
65;65.2793002090043;155.250420694049;1
66;68.2741914742284;184.519391248574;1
67;72.7653699463424;220.678041465283;1
68;68.0993798003468;183.31265530722;1
69;68.8967060721692;196.451312291183;1
70;69.2895099633052;184.595608300273;1
71;70.5232245234565;207.532838518544;1
72;69.6637252265179;177.200928752348;1
73;67.5952688079157;163.108002209381;1
74;72.5081203801037;216.218230112735;1
75;71.2529856038086;204.655493822323;1
76;71.8091868893668;200.920571219495;1
77;72.2451654792519;220.901769881142;1
78;66.5126276609347;196.449860340782;1
79;66.0290340048182;168.640810039015;1
80;67.577153942735;181.432713008126;1
81;68.2465686016242;198.658673326418;1
82;73.8261270026308;237.916735863185;1
83;69.8024643604904;173.041255909233;1
84;65.9595777848988;160.683916639879;1
85;71.0790175757451;188.602919070666;1
86;66.5961965372077;208.345694035109;1
87;68.9515350928246;193.435118452271;1
88;68.2444617923064;174.10969379062;1
89;72.3168251228452;197.368589249335;1
90;71.8154204495308;201.620666747742;1
91;65.2370495188386;181.011973240364;1
92;70.6405300907292;182.12248597866;1
93;64.731925597255;177.549263423371;1
94;67.1035511824075;164.974580682475;1
95;65.1174848880457;165.717112190107;1
96;71.7012340230177;193.094163543063;1
97;66.8328782059274;180.683886970857;1
98;66.4712752615182;172.773722928412;1
99;69.4115262206039;177.470616229738;1
100;70.0521774745245;200.818737313254;1
101;66.7436046519631;167.739775344302;1
102;66.2743291154144;154.395624779233;1
103;68.328447992915;177.984728603887;1
104;70.0758881952341;183.93885695678;1
105;68.7329881487344;179.2047820686;1
106;67.556051261876;158.567987385418;1
107;66.2536325347937;166.503531642942;1
108;69.1822026805756;171.983677611956;1
109;67.6091049416397;174.36418237859;1
110;69.2927380218867;187.745351863374;1
111;68.1906840077038;201.48796238061;1
112;71.6070857988906;204.927012136803;1
113;69.1968575103315;178.685546470181;1
114;67.2619609790619;164.014427741951;1
115;73.6851933999998;223.270004412371;1
116;69.5372150072948;202.958306269835;1
117;68.3115598414683;189.391785609949;1
118;67.7389634664393;178.170555578466;1
119;71.7057626011001;223.299335239803;1
120;63.6322646037867;167.028706658323;1
121;68.7211984556865;180.46868201187;1
122;66.9493416501869;164.439145622362;1
123;62.7069897353164;149.969618421042;1
124;72.2584089235993;192.910266551722;1
125;70.9086530626676;201.883998700574;1
126;67.609843601682;179.868025984495;1
127;70.8015589556942;196.467724673936;1
128;69.3047690450735;187.551649491386;1
